Name;Date of Birth (yyyy-mm-dd);Place of Birth;Date of Death (yyyy-mm-dd);Profession | Occupation;Years of Service;MP;Service in House of Commons;Cause of Death;Senator;Service in Senate;Notes;Language Preference;erro
The Hon. Joseph (Joe) Robert Comuzzi, P.C., M.P.;1933-04-05;Fort William, Ontario, Canada;2021-12-31;barrister and solicitor, lawyer, businessman;7267 days [19 year(s), 10 month(s), 23 day(s)];(1988-11-21 - 1998-06-17)|(1998-06-18 - 2008-10-13);7267 days [19 year(s), 10 month(s), 23 day(s)];;;;;;
Lionel Pretoria Conacher, M.P.;1902-05-24;Toronto, Ontario, Canada;1954-05-26 (Died in Office);manager, athlete, professional football player;1795 days [4 year(s), 10 month(s), 30 day(s)];(1949-06-27 - 1954-05-26);1795 days [4 year(s), 10 month(s), 30 day(s)];;;;Passed away during a softball game between the Members of Parliament and the Press Gallery on the lawn of Parliament Hill.;;
Joseph Lawrence (Larry) Condon, M.P.;1933-07-03;Hamilton, Ontario, Canada;1991-01-11;industrial worker, businessman;1779 days [4 year(s), 10 month(s), 14 day(s)];(1974-07-08 - 1979-05-21);1779 days [4 year(s), 10 month(s), 14 day(s)];;;;;;
Frederick Tennyson Congdon, K.C., M.P.;1858-11-16;Annapolis, Nova Scotia, Canada;1932-03-03;lawyer, editorial writer;1060 days [2 year(s), 10 month(s), 26 day(s)];(1908-10-26 - 1911-09-20);1060 days [2 year(s), 10 month(s), 26 day(s)];;;;;;
James Conmee, M.P.;1848-10-13;Sydenham, Canada West;1913-07-23;contractor;2513 days [6 year(s), 10 month(s), 18 day(s)];(1904-11-03 - 1911-09-20);2513 days [6 year(s), 10 month(s), 18 day(s)];;;;;;
Charles Connell, M.P.;1810;Northampton, New Brunswick, Canada;1873-06-28 (Died in Office);lumber merchant;2109 days [5 year(s), 9 month(s), 9 day(s)];(1867-09-20 - 1873-06-28);2109 days [5 year(s), 9 month(s), 9 day(s)];;;;A postal stamp bearing his effigy was issued in 1860.;;
George Heber Connell, M.P.;1836;Woodstock, New Brunswick, Canada;1881-02-15 (Died in Office);merchant;883 days [2 year(s), 5 month(s), 1 day(s)];(1878-09-17 - 1881-02-15);883 days [2 year(s), 5 month(s), 1 day(s)];;;;;;
The Hon. Harold Joseph Connolly, Senator;1901-09-08;Sydney, Nova Scotia, Canada;1980-05-17;editor, journalist;8692 days [23 year(s), 9 month(s), 17 day(s)];;;;(1955-07-28 - 1979-05-14);8692 days [23 year(s), 9 month(s), 17 day(s)];;;
The Hon. John Joseph Connolly, P.C., Q.C., K.C.S.G., O.B.E., Senator;1906-10-31;Ottawa, Ontario, Canada;1982-07-25;professor, barrister, lawyer;10369 days [28 year(s), 4 month(s), 20 day(s)];;;;(1953-06-12 - 1981-10-31);10369 days [28 year(s), 4 month(s), 20 day(s)];;;
Charles Henry (Chuck) Cook, M.P.;1926-07-28;Regina, Saskatchewan, Canada;1993-02-23 (Died in Office);broadcaster, lawyer, businessman;5027 days [13 year(s), 9 month(s), 5 day(s)];(1979-05-22 - 1988-11-20)|(1988-11-21 - 1993-02-23);5027 days [13 year(s), 9 month(s), 5 day(s)];;;;;;
The Hon. Eric Cook, Q.C., Senator;1909-07-26;St John's, Newfoundland;1986-08-23;solicitor, lawyer;7469 days [20 year(s), 5 month(s), 12 day(s)];;;;(1964-02-14 - 1984-07-26);7469 days [20 year(s), 5 month(s), 12 day(s)];;;
Herman Henry Cook, M.P.;1837-04-26;Williamsburg, Upper Canada;1914-04-12;lumber merchant, businessman;5302 days [14 year(s), 6 month(s), 6 day(s)];(1872-10-12 - 1874-11-11)|(1874-12-26 - 1878-09-16)|(1882-06-20 - 1891-03-04);5302 days [14 year(s), 6 month(s), 6 day(s)];;;;;;
Jean-Paul Cook, M.P.;1927-07-19;Québec, Quebec, Canada;2005-06-29;merchant, interior decorator;294 days [, 9 month(s), 20 day(s)];(1962-06-18 - 1963-04-07);294 days [, 9 month(s), 20 day(s)];;;;;;
The Hon. Joan Cook, Senator;1934-10-06;English Harbour West, Newfoundland;;volunteer worker, businesswoman;4233 days [11 year(s), 7 month(s), 2 day(s)];;;;(1998-03-06 - 2009-10-06);4233 days [11 year(s), 7 month(s), 2 day(s)];;;
The Hon. Anne C. Cools, Senator;;Barbados;;community-development worker, administrator;12630 days [34 year(s), 6 month(s), 29 day(s)];;;;(1984-01-13 - 2018-08-11);12630 days [34 year(s), 6 month(s), 29 day(s)];First Black person appointed to the Senate.;;
Albert Glen Cooper, M.P.;1952-06-19;Berwyn, Alberta, Canada;;businessman;4952 days [13 year(s), 6 month(s), 21 day(s)];(1980-02-18 - 1993-09-08);4952 days [13 year(s), 6 month(s), 21 day(s)];;;;;;
Clarence Owen Cooper, M.P.;1899-10-17;Meaford, Ontario, Canada;1966-04-05;farmer;2779 days [7 year(s), 7 month(s), 9 day(s)];(1958-03-31 - 1965-11-07);2779 days [7 year(s), 7 month(s), 9 day(s)];;;;;;
George Thomas Hendery Cooper, K.C., M.P.;1941-06-24;Halifax, Nova Scotia, Canada;;lawyer;272 days [, 8 month(s), 29 day(s)];(1979-05-22 - 1980-02-17);272 days [, 8 month(s), 29 day(s)];;;;;;
Michael Cooper, M.P.;1984;;;lawyer;3845 days [10 year(s), 6 month(s), 10 day(s)];(2015-10-19 - 2025-04-27)|(2025-04-28 - );3845 days [10 year(s), 6 month(s), 10 day(s)];;;;;English;
Lt. Col. Richard Clive Cooper, M.P.;1881-12-31;Dublin, Ireland;1940-03-10;accountant;1450 days [3 year(s), 11 month(s), 19 day(s)];(1917-12-17 - 1921-12-05);1450 days [3 year(s), 11 month(s), 19 day(s)];;;;;;
George Gibson Coote, M.P.;1880-08-18;Oakville, Ontario, Canada;1959-11-24;farmer, accountant, bank manager;5060 days [13 year(s), 10 month(s), 8 day(s)];(1921-12-06 - 1935-10-13);5060 days [13 year(s), 10 month(s), 8 day(s)];;;;;;
Albert James Smith Copp, M.P.;1866-12-19;Amherst, Nova Scotia, Canada;1912-10-08;crown prosecutor, lawyer;4507 days [12 year(s), 4 month(s), 2 day(s)];(1896-06-23 - 1908-10-25);4507 days [12 year(s), 4 month(s), 2 day(s)];;;;;;
The Hon. Arthur Bliss Copp, P.C., M.P., Senator;1870-07-10;Jolicure, New Brunswick, Canada;1949-12-05 (Died in Office);lawyer, teacher;12706 days [34 year(s), 9 month(s), 14 day(s)];(1915-02-01 - 1921-12-28)|(1922-01-19 - 1925-09-24);3868 days [10 year(s), 7 month(s), 3 day(s)];;(1925-09-25 - 1949-12-05);8838 days [24 year(s), 2 month(s), 11 day(s)];;;
The Hon. Sheila Maureen Copps, P.C., O.C., M.P.;1952-11-27;Hamilton, Ontario, Canada;;journalist;7191 days [19 year(s), 8 month(s), 8 day(s)];(1984-09-04 - 1996-05-01)|(1996-06-17 - 2004-06-27);7191 days [19 year(s), 8 month(s), 8 day(s)];;;;First sitting M.P. in Canadian history to give birth (March 26, 1987).  Daughter of Victor K. Copps, mayor of Hamilton, Ontario (1962-76).;;
The Hon. Jean Corbeil, P.C.;1934-01-07;Montreal, Quebec, Canada;2002-06-25;insurance broker, development consultant, businessman;1799 days [4 year(s), 11 month(s), 3 day(s)];(1988-11-21 - 1993-10-24);1799 days [4 year(s), 11 month(s), 3 day(s)];;;;;;
Robert Alfred Corbett, M.P.;1938-12-14;Saint John, New Brunswick, Canada;2025-04-06;businessman;5488 days [15 year(s), 9 day(s)];(1978-10-16 - 1993-10-24);5488 days [15 year(s), 9 day(s)];;;;;;
The Hon. Eymard G. Corbin, M.P., Senator;1934-08-02;Grand-Sault, New Brunswick, Canada;;journalist, teacher;15014 days [41 year(s), 1 month(s), 9 day(s)];(1968-06-25 - 1984-07-08);5858 days [16 year(s), 14 day(s)];;(1984-07-09 - 2009-08-02);9156 days [25 year(s), 25 day(s)];;;
Gordon Edward Corbould, K.C., M.P.;1847-11-02;Toronto, Ontario, Canada;1926-08-19;lawyer;2196 days [6 year(s), 5 day(s)];(1890-06-19 - 1896-06-22);2196 days [6 year(s), 5 day(s)];;;;;;
The Hon. Henry Corby, M.P., Senator;1851-05-02;Belleville, Canada West;1917-04-23 (Died in Office);distiller;6370 days [17 year(s), 5 month(s), 9 day(s)];(1888-03-17 - 1894-06-22)|(1894-07-04 - 1901-02-28);4720 days [12 year(s), 11 month(s), 2 day(s)];;(1912-10-17 - 1917-04-23);1650 days [4 year(s), 6 month(s), 6 day(s)];;;
The Hon. Jane Cordy, Senator;;Sydney, Nova Scotia, Canada;;teacher;8929 days [24 year(s), 5 month(s), 11 day(s)];;;;(2000-06-09 - 2024-11-18);8929 days [24 year(s), 5 month(s), 11 day(s)];;;
Ellis Hopkins Corman, M.P.;1894-09-22;Stoney Creek, Ontario, Canada;1956-08-09;farmer, canner, fruit grower;1903 days [5 year(s), 2 month(s), 16 day(s)];(1940-03-26 - 1945-06-10);1903 days [5 year(s), 2 month(s), 16 day(s)];;;;;;
The Hon. Charles Cormier, Senator;1813-06-22;Saint-Grégoire-le-Grand, Lower Canada;1887-05-07 (Died in Office);miller;7137 days [19 year(s), 6 month(s), 14 day(s)];;;;(1867-10-23 - 1887-05-07);7137 days [19 year(s), 6 month(s), 14 day(s)];"For family relationships in the Parliament of Canada see ""Family Ties"" below.  Father of Napoléon-Charles Cormier, member of the Legislative Council of Quebec (1889-1915).";;
Maximilien Dominic (Maxime) Cormier, M.P.;1878-12-21;Barachois, New Brunswick, Canada;1933-01-14 (Died in Office);barrister, school principal, teacher;902 days [2 year(s), 5 month(s), 20 day(s)];(1930-07-28 - 1933-01-14);902 days [2 year(s), 5 month(s), 20 day(s)];;;;;;
The Hon. René Cormier, Senator;;;;artist, artistic director;3457 days [9 year(s), 5 month(s), 18 day(s)];;;;(2016-11-10 - );3457 days [9 year(s), 5 month(s), 18 day(s)];;French, English;
Serge Cormier, M.P.;;;;political assistant, public servant;3845 days [10 year(s), 6 month(s), 10 day(s)];(2015-10-19 - );3845 days [10 year(s), 6 month(s), 10 day(s)];;;;;French, English;
The Hon. Clement Francis Cornwall, Senator;1836-06-18;Ashcroft, Gloucestershire, England;1910-02-15;lawyer, rancher;3489 days [9 year(s), 6 month(s), 19 day(s)];;;;(1871-12-13 - 1881-07);3489 days [9 year(s), 6 month(s), 19 day(s)];;;
Léopold Corriveau, M.P.;1926-01-23;Thetford Mines, Quebec, Canada;1998-07-16;electrician;5041 days [13 year(s), 9 month(s), 19 day(s)];(1970-11-16 - 1984-09-03);5041 days [13 year(s), 9 month(s), 19 day(s)];;;;;;
James Neilson Corry, M.P.;1895-02-15;Britton, Ontario, Canada;1968-07-11;farmer;1505 days [4 year(s), 1 month(s), 14 day(s)];(1949-06-27 - 1953-08-09);1505 days [4 year(s), 1 month(s), 14 day(s)];;;;;;
The Hon. Paul James Cosgrove, P.C., K.C., M.P.;1934-12-30;Thunder Bay, Ontario, Canada;;lawyer;1660 days [4 year(s), 6 month(s), 16 day(s)];(1980-02-18 - 1984-09-03);1660 days [4 year(s), 6 month(s), 16 day(s)];;;;;;
Jennifer Cossitt, M.P.;1948-06-22;Redcar, Yorkshire, England;;business executive, political assistant;2232 days [6 year(s), 1 month(s), 11 day(s)];(1982-10-12 - 1988-11-20);2232 days [6 year(s), 1 month(s), 11 day(s)];;;;;;
Thomas Charles Cossitt, M.P.;1923-11-15;Brockville, Ontario, Canada;1982-03-15 (Died in Office);business executive, executive, businessman;3424 days [9 year(s), 4 month(s), 15 day(s)];(1972-10-30 - 1979-05-21)|(1979-05-22 - 1982-03-15);3424 days [9 year(s), 4 month(s), 15 day(s)];;;;;;
The Hon. John Costigan, P.C., M.P., Senator;1835-02-01;St-Nicholas, Lower Canada;1916-09-29 (Died in Office);judge;17907 days [49 year(s), 10 day(s)];(1867-09-20 - 1907-01-14);14361 days [39 year(s), 3 month(s), 25 day(s)];;(1907-01-15 - 1916-09-29);3546 days [9 year(s), 8 month(s), 16 day(s)];;;
The Hon. Alcide Côté, P.C., M.P.;1903-05-19;Saint-Jean, Quebec, Canada;1955-08-07 (Died in Office);lawyer;3710 days [10 year(s), 1 month(s), 28 day(s)];(1945-06-11 - 1955-08-07);3710 days [10 year(s), 1 month(s), 28 day(s)];;;;;;
Antoine-Philéas Côté, M.P.;1903-08-19;Métis, Quebec, Canada;1954-09-27;author, journalist;2982 days [8 year(s), 1 month(s), 30 day(s)];(1945-06-11 - 1953-08-09);2982 days [8 year(s), 1 month(s), 30 day(s)];;;;;;
Clément M. Côté, M.P.;1940-10-19;Saint-Coeur-de-Marie, Quebec, Canada;;sales manager;1333 days [3 year(s), 7 month(s), 24 day(s)];(1984-09-04 - 1988-04-28);1333 days [3 year(s), 7 month(s), 24 day(s)];;;;;;
Eva Lachance Côté, M.P.;1934-01-01;Quebec, Canada;2019-06-07;executive secretary;1660 days [4 year(s), 6 month(s), 16 day(s)];(1980-02-18 - 1984-09-03);1660 days [4 year(s), 6 month(s), 16 day(s)];;;;;;
Florian Côté, M.P.;1929-05-17;Sainte-Brigitte-des-Saults, Quebec, Canada;2002-01-29;farmer;4628 days [12 year(s), 8 month(s), 2 day(s)];(1966-09-19 - 1968-06-24)|(1968-06-25 - 1979-05-21);4628 days [12 year(s), 8 month(s), 2 day(s)];;;;;;
Gustave Côté, M.P.;1913-10-17;Sainte-Claire, Quebec, Canada;2001-04-13;engineer, industrialist, industrial designer;960 days [2 year(s), 7 month(s), 17 day(s)];(1965-11-08 - 1968-06-24);960 days [2 year(s), 7 month(s), 17 day(s)];;;;;;
Guy Côté, M.P.;1965-12-30;Québec, Quebec, Canada;;political assistant, communications specialist;574 days [1 year(s), 6 month(s), 26 day(s)];(2004-06-28 - 2004-08-31)|(2004-09-01 - 2006-01-22);574 days [1 year(s), 6 month(s), 26 day(s)];;;;;;
The Hon. Jean Léon Côté, Senator;1867-05-06;Les Éboulements, Canada East;1924-09-23 (Died in Office);engineer, land surveyor;407 days [1 year(s), 1 month(s), 12 day(s)];;;;(1923-08-14 - 1924-09-23);407 days [1 year(s), 1 month(s), 12 day(s)];;;
The Hon. Joseph Julien Jean-Pierre Côté, P.C., O.C., M.P., Senator;1926-01-09;Montreal, Quebec, Canada;2002-07-10;dental technician;5492 days [15 year(s), 13 day(s)];(1963-04-08 - 1972-08-31);3434 days [9 year(s), 4 month(s), 25 day(s)];;(1972-09-01 - 1978-04-20);2058 days [5 year(s), 7 month(s), 19 day(s)];;;
The Hon. Louis Côté, Senator;1890-09-13;Ottawa, Ontario, Canada;1943-02-02 (Died in Office);Crown Attorney, lawyer;3322 days [9 year(s), 1 month(s), 5 day(s)];;;;(1933-12-30 - 1943-02-02);3322 days [9 year(s), 1 month(s), 5 day(s)];;;
Maurice Côté, M.P.;1917-10-08;Chicoutimi North, Quebec, Canada;1986-11-28;stockbroker, real estate agent, manager, broker, investment counsellor;1239 days [3 year(s), 4 month(s), 21 day(s)];(1962-06-18 - 1965-11-07);1239 days [3 year(s), 4 month(s), 21 day(s)];;;;;;
The Hon. Michel Côté, P.C., M.P.;1942-09-13;Québec, Quebec, Canada;;businessman, auditor, accountant;1539 days [4 year(s), 2 month(s), 17 day(s)];(1984-09-04 - 1988-11-20);1539 days [4 year(s), 2 month(s), 17 day(s)];;;;;;
Paul-Émile Côté, M.P.;1909-09-09;Montreal, Quebec, Canada;1970-06-03;lawyer;5029 days [13 year(s), 9 month(s), 7 day(s)];(1940-03-26 - 1949-06-26)|(1949-06-27 - 1953-08-09)|(1953-08-10 - 1953-12-31);5029 days [13 year(s), 9 month(s), 7 day(s)];;;;;;
Pierre-Émile Côté, M.P.;1887-12-07;Lévis, Quebec, Canada;1950-08-03;lawyer;933 days [2 year(s), 6 month(s), 20 day(s)];(1937-03-22 - 1939-10-10);933 days [2 year(s), 6 month(s), 20 day(s)];;;;;;
Raymond Côté, M.P.;1967-01-10;Québec, Quebec, Canada;;labourer, public servant;1631 days [4 year(s), 5 month(s), 18 day(s)];(2011-05-02 - 2015-10-18);1631 days [4 year(s), 5 month(s), 18 day(s)];;;;;;
Yvon Côté, M.P.;1939-03-16;Asbestos, Quebec, Canada;;teacher;1799 days [4 year(s), 11 month(s), 3 day(s)];(1988-11-21 - 1993-10-24);1799 days [4 year(s), 11 month(s), 3 day(s)];;;;;;
The Hon. Irwin Cotler, P.C., M.P.;1940-05-08;Montreal, Quebec, Canada;;lawyer, professor of law, advisor;5817 days [15 year(s), 11 month(s), 3 day(s)];(1999-11-15 - 2015-10-18);5817 days [15 year(s), 11 month(s), 3 day(s)];;;;;;
Ira Delbert Cotnam, M.P.;1883-12-19;Pontiac County, Quebec, Canada;1966-02-25;physician;3637 days [9 year(s), 11 month(s), 15 day(s)];(1925-10-29 - 1935-10-13);3637 days [9 year(s), 11 month(s), 15 day(s)];;;;;;
The Hon. Brent Cotter, K.C., Senator;;;;lawyer, public servant, dean, professor of law;1783 days [4 year(s), 10 month(s), 18 day(s)];;;;(2020-01-31 - 2024-12-17);1783 days [4 year(s), 10 month(s), 18 day(s)];;;
The Hon. Ernest G. Cottreau, Senator;1914-01-28;Wedgeport, Nova Scotia, Canada;2004-03-07;automobile dealer, school principal;5380 days [14 year(s), 8 month(s), 24 day(s)];;;;(1974-05-08 - 1989-01-28);5380 days [14 year(s), 8 month(s), 24 day(s)];;;
Timothy Coughlin, M.P.;1834-01-08;Yarmouth Township, Upper Canada;1912-08-12;farmer;4552 days [12 year(s), 5 month(s), 17 day(s)];(1878-09-17 - 1891-03-04);4552 days [12 year(s), 5 month(s), 17 day(s)];;;;;;
Charles Jérémie Coulombe, M.P.;1846-10-23;Saint-Cuthbert, Canada East;1938-12-01;physician;1472 days [4 year(s), 11 day(s)];(1887-02-22 - 1891-03-04);1472 days [4 year(s), 11 day(s)];;;;;;
Sixte Coupal dit La Reine, M.P.;1825-05-01;Saint-Cyprien-de-Léry, Lower Canada;1891-06-22;farmer;4684 days [12 year(s), 9 month(s), 27 day(s)];(1867-09-20 - 1872-10-11)|(1874-08-04 - 1875-05-07)|(1875-06-19 - 1882-06-19);4684 days [12 year(s), 9 month(s), 27 day(s)];;;;;;
Gérard Cournoyer, M.P.;1912-04-18;Sorel, Quebec, Canada;1973-11-11;lawyer;2022 days [5 year(s), 6 month(s), 13 day(s)];(1946-12-23 - 1952-07-05);2022 days [5 year(s), 6 month(s), 13 day(s)];;;;;;
The Hon. Michel Charles Joseph Coursol, M.P.;1819-10-03;Amherstburg, Upper Canada;1888-08-04 (Died in Office);lawyer;3610 days [9 year(s), 10 month(s), 19 day(s)];(1878-09-17 - 1888-08-04);3610 days [9 year(s), 10 month(s), 19 day(s)];;;;;;
The Hon. Henri Courtemanche, P.C., M.P., Senator;1916-08-07;Mont-Laurier, Quebec, Canada;1986-03-19;lawyer;3162 days [8 year(s), 7 month(s), 27 day(s)];(1949-06-27 - 1953-08-09)|(1957-06-10 - 1960-01-19);2459 days [6 year(s), 8 month(s), 25 day(s)];;(1960-01-20 - 1961-12-22);703 days [1 year(s), 11 month(s), 3 day(s)];;;
René Cousineau, M.P.;1930-06-17;Gatineau, Quebec, Canada;2002-09-10;notary, professor of notary law, developer;1932 days [5 year(s), 3 month(s), 15 day(s)];(1979-05-22 - 1984-09-03);1932 days [5 year(s), 3 month(s), 15 day(s)];;;;;;
Clément Couture, M.P.;1939-08-02;Saint-Camille, Quebec, Canada;2021-07-08;industrial commissioner, administrator;1799 days [4 year(s), 11 month(s), 3 day(s)];(1988-11-21 - 1993-10-24);1799 days [4 year(s), 11 month(s), 3 day(s)];;;;;;
Paul Couture, M.P.;1833-04-15;Saint-Charles, Lower Canada;1913-11-30;farmer;1472 days [4 year(s), 11 day(s)];(1887-02-22 - 1891-03-04);1472 days [4 year(s), 11 day(s)];;;;;;
Donald James Cowan, M.P.;1883-01-03;Drumbo, Ontario, Canada;1964-01-18;Crown Attorney, barrister;3317 days [9 year(s), 30 day(s)];(1926-09-14 - 1935-10-13);3317 days [9 year(s), 30 day(s)];;;;;;
George Henry Cowan, M.P.;1858-06-17;Watford, Canada West;1935-09-20;solicitor, author, lawyer;1060 days [2 year(s), 10 month(s), 26 day(s)];(1908-10-26 - 1911-09-20);1060 days [2 year(s), 10 month(s), 26 day(s)];;;;;;
The Hon. James S. Cowan, K.C., Senator;1942-01-22;Halifax, Nova Scotia, Canada;;lawyer;4322 days [11 year(s), 9 month(s), 30 day(s)];;;;(2005-03-24 - 2017-01-21);4322 days [11 year(s), 9 month(s), 30 day(s)];;;
Mahlon K. Cowan, M.P.;1863-05-10;Blytheswood, Canada West;1917-10-28;lawyer;3054 days [8 year(s), 4 month(s), 10 day(s)];(1896-06-23 - 1904-11-02);3054 days [8 year(s), 4 month(s), 10 day(s)];;;;;;
Ralph Bronson Cowan, M.P.;1902-05-06;Ottawa, Ontario, Canada;1990-04-21;manager, journalist;2199 days [6 year(s), 8 day(s)];(1962-06-18 - 1968-06-24);2199 days [6 year(s), 8 day(s)];;;;;;
Walter Davy Cowan, M.P.;1865-12-31;Guelph, Canada West;1934-09-28 (Died in Office);dentist;2974 days [8 year(s), 1 month(s), 22 day(s)];(1917-12-17 - 1921-12-05)|(1930-07-28 - 1934-09-28);2974 days [8 year(s), 1 month(s), 22 day(s)];;;;;;
Marlene Cowling, M.P.;1941-08-26;Dauphin, Manitoba, Canada;;farmer;1316 days [3 year(s), 7 month(s), 7 day(s)];(1993-10-25 - 1997-06-01);1316 days [3 year(s), 7 month(s), 7 day(s)];;;;;;
The Hon. George Albertus Cox, Senator;1840-05-07;Colborne, Upper Canada;1914-01-16 (Died in Office);telegrapher, real estate agent, merchant;6273 days [17 year(s), 2 month(s), 3 day(s)];;;;(1896-11-13 - 1914-01-16);6273 days [17 year(s), 2 month(s), 3 day(s)];;;
Charles Delmar Coyle, M.P.;1887-09-16;Kinglake, Ontario, Canada;1954-01-19 (Died in Office);tobacco manufacturer;3145 days [8 year(s), 7 month(s), 10 day(s)];(1945-06-11 - 1954-01-19);3145 days [8 year(s), 7 month(s), 10 day(s)];;;;;;
The Hon. Mary Coyle, Senator;;;;development consultant, executive director;3068 days [8 year(s), 4 month(s), 24 day(s)];;;;(2017-12-04 - );3068 days [8 year(s), 4 month(s), 24 day(s)];;English, French;
Thomas Dixon Craig, M.P.;1842-11-20;London, England;1905-04-04;tanner;3534 days [9 year(s), 8 month(s), 4 day(s)];(1891-03-05 - 1900-11-06);3534 days [9 year(s), 8 month(s), 4 day(s)];;;;;;
The Hon. George Crawford, Senator;1793;Manorhamilton, County Cavan, Ireland;1870-07-04 (Died in Office);contractor;986 days [2 year(s), 8 month(s), 13 day(s)];;;;(1867-10-23 - 1870-07-04);986 days [2 year(s), 8 month(s), 13 day(s)];"For family relationships in the Parliament of Canada see ""Family Ties"" below.  Brother of John Crawford, Brockville alderman and mayor.";;
James Crawford, M.P.;1816;County Cavan, Ireland;1878-11-22;contractor;1849 days [5 year(s), 23 day(s)];(1867-09-20 - 1872-10-11);1849 days [5 year(s), 23 day(s)];;;;;;
John Crawford, M.P.;1856-06-17;Kintail, Canada West;1928-05-31;farmer;1453 days [3 year(s), 11 month(s), 22 day(s)];(1904-11-03 - 1908-10-25);1453 days [3 year(s), 11 month(s), 22 day(s)];;;;;;
The Hon. John Willoughby Crawford, Q.C., M.P.;1817;Manorhamilton, County Cavan, Ireland;1875-05-13;lawyer;2238 days [6 year(s), 1 month(s), 17 day(s)];(1867-09-20 - 1872-10-11)|(1872-10-12 - 1873-11-04);2238 days [6 year(s), 1 month(s), 17 day(s)];;;;"For family relationships in the Parliament of Canada see ""Family Ties"" below.  Son-in-law of Levius Peters Sherwood, Speaker of the House of Assembly of Upper Canada (1821-  ).Brother-in-law of Henry Sherwood, member of the House of Assembly of Upper Canada (1836-41) and of the Legislative Assembly of the Province of Canada  (1843-51) (1853-54).";;
Rex Crawford, M.P.;1932-02-25;Detroit, Michigan, United States;2022-07-20;farmer;3115 days [8 year(s), 6 month(s), 10 day(s)];(1988-11-21 - 1997-06-01);3115 days [8 year(s), 6 month(s), 10 day(s)];;;;;;
The Hon. William Lawrence Marven Creaghan, M.P.;1922-05-30;Newcastle, New Brunswick, Canada;2008-10-01;barrister;1540 days [4 year(s), 2 month(s), 18 day(s)];(1958-03-31 - 1962-06-17);1540 days [4 year(s), 2 month(s), 18 day(s)];;;;"The Governor General of Canada declared that Judge Creaghan would retain his title of ""honourable"" following his retirement, in recognition of his long years of devoted service.";;
